DESCRIPCION,MONTO_CONTRATADO,lat,lon
"Diseño, desarrollo de proyectos, obras de urbanización y construcción de 8 viviendas fiscales para oficiales y 43 casas fiscales para gente de mar",2270741679.0,-36.6309,-73.0589
"Corresponde a pisos 2 y 3 y caja de escalera poniente, incluye los trabajos para reforzar estructuralmente el edificio ante eventuales sismos, obras de recuperación, reparaciones y remodelación en sectores que serán intervenidos al interior de la torre de recuperación.",646641636.0,-36.6912,-73.1132
HABILITACIÓN DE UNIDAD DE SALUD CREAD PLAYA ANCHA,31933000.0,-33.0268,-71.6419
"Construcción Sala Cuna y Niveles Medios Ardillitas, Comuna de Valparaíso. Detalles en Bases adjuntas.",875151543.0,-33.0591945767208,-71.6070735454559
Mejoramiento Pavimentación Calle Ohiggins La Isla,541169748.0,-33.0792,-71.5845
"CONSERVACIÓN VIAS URBANAS DE PERIMETRO DE TRANSPORTE GRAN VALPARAISO: CONSERVACION AVENIDA ESPAÑA, COMUNAS DE VALPARAÍSO - VIÑA DEL MAR",3348268202.0,-33.0525551100496,-71.6026972240627
"Las presentes Bases Administrativas contienen las disposiciones técnicas y reglamentarias, y fijan las condiciones que todo contratista debe respetar para la contratación, ejecución y recepción del proyecto “Recuperación Unidad de Salud CIP CRC Limache”, ubicado en San Alfonso Nº 1000, comuna de Limache, Región de Valparaíso",55113642.0,-33.0211,-71.2651
"Mejoramiento Cancha El Tordo, Valparaíso",68752343.0,-33.0475970890994,-71.5803614258766
"En el marco del Plan de Inversiones 2014-2021, para la reconstrucción definitiva de los sectores afectados por el incendio de abril de 2014, que afectó a la ciudad y comuna de Valparaíso, resulta esencial la implementación de medidas orientadas a generar condiciones ambientales y de seguridad para la población afectada por el incendio forestal de abril de 2014, para lo cual y entre otras medidas es preciso abordar la puesta en ejecución de la iniciativa denominada control de plaga y erradicación de micros basurales críticos de la comuna de Valparaíso.	 Para el efecto de implementar esta iniciativa se pretende abordar doce puntos estratégicos los cuales constituyen cerca de 9.959 metros cúbicos distribuidos en el sector alto de la ciudad.
Uno de estos microbasurales, ubicado en el sector de Cuesta Colorada, reviste ciertas particularidades que requieren un tratamiento especial debido a que concentra una gran proporción de metros cúbicos de basura, tiene una gran extensión y requiere de faenas distintas a las habituales en limpieza de microbasurales.
",125898100.0,-33.0665,-71.5993
"Las presentes Bases Especiales contienen las disposiciones técnicas y reglamentarias, y fijan las condiciones que todo contratista debe respetar para la contratación, ejecución y recepción del “REPARACIÓN DE BAÑOS CREAD PLAYA ANCHA”, UBICADO EN ALCALDE BARRIOS Nº 289, COMUNA DE VALPARAÍSO, REGIÓN VALPARAÍSO.",45664999.99999999,-33.0267693744141,-71.6420133411884
"Programa Recuperación de Barrios, Parque Equipamiento Urbano Placilla de Peñuelas, Paño 1, Etapa III, Comuna de Valparaíso",681683295.0,-33.0525551100496,-71.6026972240627
CONTRATACION Y EJECUCION DE OBRA DE PINTURA FACHADAS PARA EL ESTABLECIMIENTO EDUCACIONAL ALFREDO NAZAR DE VALPARAISO,51060738.0,-33.0283,-71.6378
"Mejoramiento Aceras Calle San Ignacio, corresponde al mejoramiento de las aceras y accesos a los recintos y viviendas de los residentes de la calle.
Mejoramiento Calzada Calle San Ignacio, corresponde al mejoramiento de la carpeta superficial de asfalto.
",68137500.0,-33.0507,-71.6112
"Realizar la obras civiles de construccion del Centro de Salud Familiar Rodelillo, ubicado en Pasaje La Merced Nº 4350, ciudad de Valparaiso.",3681871566.0,-33.0579,-71.5784
Habilitar infraestructura de conectividad para la Facultad de Ingeniería,82336483.0,-33.0459,-71.6133
Mejoramiento Integral Ascensor El Peral,1106200718.0,-33.0396,-71.6295
"NORMALIZACIÓN ESTADIO ELÍAS FIGUEROA BRANDER, COPA AMÉRICA 2015. Se requiere contratar obras para la ejecución del proyecto de “NORMALIZACIÓN ESTADIO ELÍAS FIGUEROA BRANDER, COPA AMÉRICA 2015”, toda vez que esta dependencia deportiva será sede del evento Copa América 2015, debiendo realizarse obras exigidas por el Comité Organizador del Torneo Internacional.",84379928.0,-33.022,-71.6405
Renovación de la iluminación de la cancha Julio Barrera del cerro La Cruz,40015430.0,-33.06,-71.6121
Construcción Sede Club Dep. Humberto Nelson,127772640.0,-33.0434921651097,-71.597543656826
"Este proyecto tiene como objeto mejorar las condiciones de seguridad, higiene y electricidad de la siguiente manera: -Cambio del cableado, accesorios, tableros y todo lo necesario para lograr que los circuitos eléctricos queden adecuadamente sectorizados y funcionando bajo norma. -Cambiar todo lo que es el cierro perimetral del establecimiento debido a que se encuentra con un deterioro considerable y en riesgo constante de caída.  -Instalar sistema de Hidropack, ya que, en la actualidad la Escuela tiene un grave problema por la poca presión del agua potable. -Considera también repavimentar, construir accesibilidad universal. -Reparaciones en algunos recintos, como el comedor y sala de profesores. ",73878025.0,-33.1134800115336,-71.5700858831406
"Las presentes Bases Especiales contienen las disposiciones técnicas y reglamentarias, y fijan las condiciones que todo contratista debe respetar para la contratación, ejecución y recepción del proyecto de “MEJORAMIENTO PATIO DE JUEGOS CREAD PLAYA ANCHA”.",23194658.0,-33.026771623221,-71.6419637203217
"La Contraloría General de la República –en adelante CGR- llama a presentar ofertas para contratar el suministro e instalación de escalera tipo gato para la sede de la Contraloría Regional de Valparaíso, ubicada en Edwards N°699, comuna de Valparaíso.",1998700.0,-33.0473109561198,-71.6196262836456
“Habilitación Servicio de Urgencia APS Alta Resolutividad Valparaíso” Código BIP Nº 30273872-0,523450240.0,-33.049,-71.6168
"“CONSTRUCCION CECOSF JUAN PABLO II, VALPARAÍSO Código BIP 30374223-0”",400503048.0,-33.0620899264535,-71.5634340047836
"CONSERVACION CESFAM QUEBRADA VERDE, CECOF PORVENIR, VALPARAÍSO",39911300.0,-33.0421858465172,-71.6459468007088
REPARACIÓN DE TECHUMBRES LICEO ALFREDO NAZAR FREDES,7563625.0,-33.0284278539649,-71.637521982193
"Construcción Sede Vecinal UV 85, Puertas Negras Playa Ancha ",70509320.0,-33.0568521511158,-71.6451662778854
Construcción Pavimentos Losa Terminal Rodoviario FRIL 2014,68515460.0,-33.0468,-71.6061
Construcción Sala Cuna y Nivel Medio San Columbano Valparaíso. Detalle en Bases Adjuntas.,535122136.0,-33.062009001823,-71.562956571579
"Las presentes Bases Administrativas contienen las disposiciones técnicas y reglamentarias, y fijan las condiciones que todo contratista debe respetar para la contratación, ejecución y recepción del proyecto “Contratación de obra de conservación de Centro CSC Limache”, Centro dependiente del Servicio Nacional de Menores, ubicado en San Alfonso N°999, Comuna de Limache.",18418998.0,-33.0212854879821,-71.2629997730255
"Programa Recuperación de Barrios, Parque Equipamiento Urbano Placilla de Peñuelas, Paño 1, Etapa IV, Comuna de Valparaíso",970926041.0,-33.0525551100496,-71.6026972240627
CONTRATACION Y EJECUCION DE OBRA DE PINTURA FACHADAS PARA EL ESTABLECIMIENTO EDUCACIONAL NACIONES UNIDAS DE VALPARAISO,70812230.0,-33.0479,-71.6504
CONTRATACION Y EJECUCION DE OBRA DE PINTURA FACHADAS PARA EL ESTABLECIMIENTO EDUCACIONAL INSTITUTO SUPERIOR DE COMERCIO FRANCISCO ARAYA BENNETT DE VALPARAISO,41703773.0,-33.05,-71.6023
"LA I.M.V. POSEE DIVERSAS FUENTES ORNAMENTALES, LAS QUE SE ENCUENTRAN UBICADAS EN EL PLAN DE LA CIUDAD, ENTRE ELLAS LA DE LA PLAZA VICTORIA, LA QUE NO SE ENCUENTRA OPERATIVA POR DIVERSOS MOTIVOS, CUYA SOLUCIÓN FORMA PARTE DE ESTA LICITACIÓN. ",11350000.0,-33.0464,-71.6198
"SATISFACER REQUERIMIENTO DEL DEPTO. COMPLEJO DEPORTIVO, CARGO SOST. COMPLEJO DEPORTIVO, SEGÚN SOLICITUD N°100/2014, FOLIO 1427.",4398047.0,-33.0191,-71.64
"Ejecución Trabajos de Remodelación de las dependencias y oficinas de la sala Rafael Eyzaguirre del Senado, Congreso Nacional, en Valparaíso.",243426427.0,-33.0481,-71.6055
"Construcción y Habilitación Unidad Cuidados Medios HCVB” Código BIP Nº 30121782-0. Ubicado en Calle San Ignacio 725, Valparaíso",620593957.0,-33.0505444748414,-71.6109439730644
SATISFACER REQUERIMIENTO DEPTO PUNTA DE ANGELES SEGUN FOLIO N° 457.,6447750.0,-33.0205568261753,-71.6389489173889
CONSERVACION CANCHAS PARQUE ALEJO BARRIOS DE VALPARAISO,48681326.0,-33.0235,-71.6389
"Las presentes Bases Administrativas contienen las disposiciones técnicas y reglamentarias, y fijan las condiciones que todo contratista debe respetar para la contratación, ejecución y recepción de la obra denominada “REPARACIÓN Y REPOSICIÓN DE LAS INSTALACIONES DE AGUA POTABLE, ALCANTARILLADO, AGUAS LLUVIAS Y GAS CREAD PLAYA ANCHA”, Centro dependiente del Servicio Nacional de Menores, ubicado en Alcalde Barrios Nº 289, Ciudad, Comuna y Región de Valparaíso.",134478151.0,-33.0266827953024,-71.6421756148338
Mejoramiento Instalación de Pasto Sintético en Cancha Jimenez,22056500.0,-33.0550042435609,-71.6323506832123
"SATISFACER REQUERIMIENTO DEL DEPTO. BRIGADA ESCUELA, CORRESPONDIENTE AL SUMINISTRO E INSTALACIÓN DE ALFOMBRA DE ALTO TRAFICO EN SALAS.",12436900.0,-33.0210875804328,-71.6378331184387
"SATISFACER REQUERIMIENTO DEL DEPTO. BRIGADA ESCUELA, CORRESPONDIENTE A REPARACIÓN DE CASILLEROS DE SALAS DE ESTUDIOS.",7356446.0,-33.0208469422459,-71.6390883922577
"MEJORAMIENTO TECHUMBRES MUSEO DE BELLAS ARTES, PALACIO BABURIZZA.",71336172.0,-33.0402425023181,-71.6289952397346
"SATISFACER REQUERIMIENTO DEL DEPTO. BRIGADA ESCUELA, CARGO MANTENCIÓN Y SERVICIOS, SEGÚN FOLIO N°10",10812938.0,-33.0209009172234,-71.6393002867699
"SATISFACER REQUERIMIENTO DEL DEPTO. COMPLEJO DEPORTIVO, SEGÚN FOLIO 1097,CORRESPONDIENTE A LA MANTENCIÓN DE CAMARINES DEL COMPLEJO DEPORTIVO DE LA ESCUELA NAVAL.",6340618.0,-33.0210426013823,-71.6376185417175
MANTENCIÓN Y REPARACIÓN DE ENTREPUENTES Y BAÑOS DE CADETES.- FOLIO INTERNO 004.-,16806155.0,-33.0210291076627,-71.6379243135452
SE LLAMA A LICITACIÓN PUBLICA PARA EFECTUAR LA REPARACIÓN DE LAS SALAS DE CLASES DE LA ESCUELA NAVAL,7467500.0,-33.0208851745251,-71.6387182474136
"PROGRAMA RECUPERACIÓN DE BARRIOS, EJECUCIÓN DE ESPACIOS PÚBLICOS, QUEBRADA CABRITERÍA Y ETAPA II MEJORAMIENTO LA FERIA, BARRIO RODELILLO, COMUNA DE VALPARAÍSO ",430317574.00000006,-33.0482647903046,-71.5868657827377
CONSERVACIÓN CANCHAS PARQUE ALEJO BARRIOS DE VALPARAISO,46134416.0,-33.0232150633037,-71.638594865799
"LP 137-2015 PROGRAMA RECUPERACION DE BARRIOS, EJECUCIÓN CONSOLIDACIÓN Y REHABILITACIÓN ÁREAS VERDES Y CIRCULACIÓN CERRO FLORIDA, COMUNA DE VALPARAÍSO",330434825.0,-33.0500875415228,-71.6200876235962
Construcción Centro Comunitario N°100,45236525.0,-33.0574501274925,-71.5957117080688
"ADQUISICIÓN E INSTALACIÓN DE EQUIPO DE AIRE ACONDICIONADO EN COMPLEJO DEPORTIVO SEGÚN ESPECIFICACIONES TÉCNICAS EN BASES ADMINISTRATIVAS ADJUNTAS, SEGÚN FOLIO 1156.",5740000.0,-33.0208525646409,-71.6391018033028
"Construcción Sala Cuna y Niveles Medios sector Quebrada Verde, Comuna de Valparaíso. Detalles en Bases adjuntas.",614426172.0,-33.0452694917386,-71.6486477851868
"SATISFACER REQUERIMIENTO DEL DEPTO. COMPLEJO DEPORTIVO; SEGÚN FOLIO N°664, CORRESPONDIENTE A LA REPARACIÓN EN ÁREAS EXTERIORES DEL COMPLEJO DEPORTIVO DE LA ESCUELA NAVAL.",2940000.0,-33.0204758633805,-71.639506816864
Contrato de obras y servicios de remodelación oficinas Fosis Valparaíso e instalación y habilitación sistema eléctrico y puntos de red y datos,2941176.0,-33.0385062408747,-71.6274154186249
Contrato de obras y servicios de remodelación oficinas Fosis Valparaíso e instalación y habilitación sistema eléctrico y puntos de red y datos,1260504.0,-33.0384927498288,-71.6274154186249
"PROGRAMA DE RECUPERACION DE BARRIO, SEDE VECINAL U.V 182, BARRIO RODELILLO, COMUNA DE VALPARAISO",149697563.0,-33.0559664192446,-71.5808737277985
Const. Ampliación Club Deportivo Guillermo Rivera Cerro Yungay,49062125.0,-33.0557416127833,-71.6266188025475
"SATISFACER REQUERIMIENTO DEL DEPTO. BRIGADA ESCUELA, SEGÚN FOLIO 1139.",5990590.0,-33.0208491912039,-71.6386860609055
"Mejoramiento de Oficina SECPLA, Ilustre Municipalidad de Valparaíso",7854758.0,-33.052194090826,-71.6027230024338
a) Este proyecto tiene como objetivo mejorar las condiciones de infraestructura del Gimnasio del CESFAM Barón dependiente del área Salud de la Corporación Municipal de Valparaíso para el desarrollo social.,14776026.0,-33.0390717386908,-71.6007864475251
"Esta iniciativa consiste en la construcción de un Cuartel que permite concretar la elevación de categoría del actual retén a Subcomisaría, albergando el incremento en recursos humanos y logísticos, como a su vez el área Administrativa.",2583971498.0,-33.1145538759538,-71.5767431259155
"Construcción Sede Vecinal 196-A , La explanada",73221033.0,-33.0286662226979,-71.6503563523293
El objetivo de esta licitación es contratar los servicios de una entidad que realice las obras requeridas para el mejoramiento de la Drogueria Barón del área Salud de la Corporación Municipal de Valparaíso para el desarrollo social.,41871504.0,-33.0391268267361,-71.6008508205414
"Este proyecto tiene como objetivo mejorar las condiciones de infraestructura del establecimiento Liceo Eduardo de la Barra, específicamente lo que dice relación con la reposición de puertas del mismo.",35415689.0,-33.0488577610556,-71.6130119562149
SUMINISTRO E INSTALACIÓN DE PASAMANOS EN ESCALERAS ESTADIO ELÍAS FIGUEROA BRANDER DE VALPARAÍSO,15829331.0,-33.0219298089141,-71.6403906047344
"CONSTRUCCION PLAZA MANOS UNIDAS , CERRO FLORIDA",58400840.0,-33.0537812761136,-71.6207259893417
Mejoramiento Parque Italia de Valparaíso,857365106.0,-33.0476122254907,-71.6143584251404
"Construcción Sede Vecinal UV 204, Placilla, Valparaíso",83639647.0,-33.1159107904634,-71.5770408511162
Mejoramiento Multicanchas Carlos Dittborn,66439775.0,-33.0446219689224,-71.6518610715866
"La necesidad de realizar trabajos relacionados con la construcción de Escalera de fierro para el sector de Otorrinolaringología, Instalación de piso de cerámico de Club Escolar, la Instalación de cortinas en sala de Capacitación MEL y la instalación del sistema de climatización para Capacitación del Hospital Carlos Van Buren.",8886600.0,-33.0502921285632,-71.6114562749863
